,nickname,text,score,like,dislike,time,watch_movie
310,Dreamer(mode****),이딴거 보는게 이해 안감,1,4,0,2020-09-18 18:02:00,0
311,뱅빙(cute****),원작 고증 1도 없고 동양문화 하나도 모르는 사람들이 연출해서 그런지 중간중간보다 읭 스러운 부분이 많음.,1,4,0,2020-09-18 17:47:00,0
312,yui_****,최악의 디즈니 영화가 탄생했다! 어린아이들도 어른들도 지겨워했다,1,4,0,2020-09-18 17:43:00,0
313,바이윤(cho7****),차라리 터넷을 한번 더 보세요,1,4,0,2020-09-18 17:38:00,0
314,박차고이러나(nena****),이제 구라 중국 무술은 좀 지겹지 않나요?,4,4,0,2020-09-18 17:37:00,0
315,interior design(curi****),중국은 소수민족 탄압을 중지하라.,1,4,0,2020-09-17 23:32:00,0
316,IMAGINE(lhti****),"중국의 똥구녕을 허벌나게 빨아제끼는 디즈니, 근데 정작 중국에서도 평이 그지임 .... + 이거 볼바에 쿵푸허슬 100만번 본다",1,5,1,2020-09-25 13:40:00,0
317,후니(chan****),아무래도 주인공 캐스팅 아쉽다..,1,5,1,2020-09-21 15:07:00,0
318,세상참(emer****),홍콩인권탄압을 지지하는 중국배우들이 주연인 영화입니다. 외국에서는 보이콧운동이 한창인데...역시 한국은 언론에서 다루지 않습니다. 보시면 안됩니다,1,5,1,2020-09-20 12:08:00,0
319,붉은계절(joke****),내가 영하 만들어도 이것보다 잘만들 자신있다.,1,5,1,2020-09-20 07:12:00,0
320,김시민 덴지쿠 도쿠베(goe0****),흥콩에 프리 지지할때는 언제고 위그르 등등 인권 억압하는 영화를 좋다고 보는거 보면 한국에 이중성 역겹다!,1,5,1,2020-09-17 21:50:00,0
321,ECCSK(sukh****),"꼭 보세요. 클레멘타인급 명작임. 디즈니가 이런 영화를 만들다니, 스티븐 시걸이 기뻐할 거에요.",1,6,2,2020-09-21 17:32:00,0
