,nickname,text,score,like,dislike,time,watch_movie
205,구자(eveh****),평론가들 점수봐라 씨발 외국에서 상하나 탔으니 점수는 후하게 빨아주는것봐라 줏대없네 색히들ㅋ영화자체만 봐도 5점때가 될까말까야 임마들아 어휴 평론가들 허세 가오는 이미 정평이나왔느니 이영화 평점 7이상준놈들이평가하는...,1,15,3,2017-03-30 14:24:00,0
206,이유뮤직(spee****),정신 차리세요 정신 좀 차려,1,15,3,2017-03-25 19:25:00,0
207,송윤지(gpfr****),1점 주기도 아까운 영화였습니다 0점은 없나요,1,15,3,2017-03-25 16:55:00,0
208,uga3****,영화란 매개를 이용해 자기합리화하는 감독과 여배우의  진부한 변명에 개악을 금할 수 없었다 최악의 하질,1,17,5,2017-03-25 22:22:00,0
209,타미(ksm8****),정말 미친 것 같다. 이런 제정신이 아닌 영화를 9700명이나 보다니 참,1,17,5,2017-03-25 20:28:00,0
210,레니토이(534k****),다 1점드리는 분위기니까 저도 1점,1,17,5,2017-03-25 00:10:00,0
211,김고은(goeu****),불편하고 깨름직한 영화,1,17,5,2017-03-24 08:31:00,0
212,ㅇ천비ㅇ(chun****),아무리 이리포장하고 저리포장해도 불륜은 불륜. 뭐 잘났다고 영화로까지 너희 얘길 퍼트리냐?,1,18,6,2017-03-26 10:40:00,0
213,라이언킴37(ryan****),전국 누적관객수를 보라.ㅋㅋㅋ비정규직요원도 1만4천이나 넘었건만ㅋ,1,19,7,2017-03-26 04:40:00,0
214,fc00****,영화라기보다 자기들이 대중에게 하고싶은  얘기하는 다큐프로 보는거같았다.  재미도 없었음.돈아깝고 시간아까웠음.,1,19,7,2017-03-26 02:48:00,0
215,taeo****,실망.이네요 보지마세요,1,19,7,2017-03-26 00:37:00,0
216,겸댕(thtj****),이딴 영화가 5점이나 된다니 말도안되,1,19,7,2017-03-26 00:26:00,0
217,카멜로(whxk****),별점 1점 밑으로 주고싶은데... 연기 진짜 다들 별로에요 ㅋㅋㅋ 연영과 애들이 척하는 연기 너무 생각나서 개 별로임,1,11,0,2017-05-02 00:04:00,0
218,옥시기(oxyb****),"시간만 낭비한다. 보지마라. 다큐도 아니고, 연애영화도 아니고, 감독이 뭘 이야기 하고 싶다는건지... 예술도 오락도 아닌 아무것도 아닌영화, 아니 영화도 아니다.",1,12,1,2017-06-19 12:07:00,0
219,이시우(furi****),채미도 없고 의미도 없고 비겁한 변명..기억나는대사 제정신이 아니다..,1,12,1,2017-05-01 16:55:00,0
220,okin****,당신들의 인생이니 멋대로 사는건 뭐라 않겠지만 진실이 사라진 영화는 더 이상 만들지 마세요,1,12,1,2017-04-20 16:57:00,0
221,베베베(best****),홍상수 감독의 분풀이 영화,3,12,1,2017-04-17 07:48:00,0
222,룰룰루(hlj7****),전작들에 비해 재미가없었음.,2,12,1,2017-04-10 04:59:00,관람객
223,아이비짱(kosu****),"보다보다 이런 별로인 영화는 처음 ...시간무지 아까웠고,  영화보로간 내가 한심했다.   지루하고...   아예 슬프리가로 하던지 ,   것도 아니고....  쯔",1,13,2,2017-05-27 16:49:00,관람객
224,별명이없다(slee****),솔직히 감독의 개인적인 이야기를 떠나서 영화자체가 별로임.,2,13,2,2017-04-17 22:31:00,0
225,씨종이는(a18o****),뭔 말이 필요해? 김민희와 홍상순데 ㅋ 제 점수는여~,1,13,2,2017-04-05 20:26:00,0
